"1";"1";"2012"
"2";"2";"2012"
"3";"1";"2011"
"4";"1";"2010"
"5";"1";"2009"
"6";"1";"2008"
"7";"1";"2007"
"8";"1";"2006"
"9";"1";"2005"
"10";"1";"2004"
"11";"1";"2003"
"12";"1";"2002"
"13";"1";"2001"
"14";"1";"2000"
"15";"1";"1999"
"16";"1";"1998"
"17";"1";"1997"
"18";"1";"1996"
"19";"1";"1995"
"20";"1";"2013"
"21";"2";"2013"
"22";"1";"2014"
"23";"2";"2014"
"24";"4";"2014"
"25";"1";"2015"
"26";"2";"2015"
"27";"4";"2015"
"28";"4";"2013"
"29";"4";"2012"
"30";"4";"2011"
"31";"4";"2010"
"32";"4";"2009"
"33";"4";"2008"
"34";"4";"2007"
"35";"4";"2006"
"36";"4";"2005"
"37";"4";"2004"
"38";"1";"2016"
"39";"2";"2016"
"40";"4";"2016"
"41";"1";"2017"
"42";"2";"2017"
"43";"4";"2017"
